popSize,mutGen,mutInd,cross,elit,nGenerations
500,0.02,0.3,0.5,0.2,500
500,0.02,0.3,0.4,0.2,500
500,0.03,0.3,0.5,0.2,1000
500,0.02,0.3,0.6,0.3,500
500,0.03,0.2,0.4,0.2,1000
500,0.03,0.2,0.3,0.2,500
500,0.02,0.2,0.3,0.2,500
500,0.03,0.3,0.5,0.3,500
1000,0.02,0.2,0.5,0.2,500
500,0.02,0.2,0.4,0.2,1000
1500,0.02,0.3,0.4,0.2,500
500,0.03,0.3,0.6,0.3,500
500,0.03,0.2,0.5,0.2,500
500,0.03,0.3,0.5,0.2,500
500,0.03,0.2,0.5,0.3,1000
1500,0.02,0.2,0.5,0.2,1000
500,0.03,0.2,0.3,0.2,1500
1000,0.03,0.4,0.3,0.2,500
500,0.02,0.4,0.5,0.2,500
500,0.03,0.2,0.6,0.3,500
500,0.02,0.2,0.6,0.2,500
500,0.02,0.3,0.6,0.3,1500
500,0.03,0.3,0.3,0.2,1000
500,0.03,0.3,0.6,0.2,1500
500,0.02,0.4,0.6,0.2,500
500,0.03,0.3,0.4,0.3,500
1000,0.03,0.2,0.6,0.3,1500
500,0.03,0.2,0.3,0.3,500
1000,0.02,0.3,0.6,0.2,1500
1500,0.03,0.2,0.5,0.2,500
500,0.03,0.2,0.4,0.3,1000
500,0.03,0.4,0.5,0.2,500
500,0.03,0.2,0.4,0.2,500
500,0.02,0.3,0.4,0.2,1500
1500,0.03,0.3,0.3,0.3,500
1500,0.03,0.4,0.6,0.3,1000
1000,0.03,0.2,0.5,0.2,1000
500,0.03,0.2,0.5,0.3,500
1500,0.03,0.4,0.6,0.2,1000
500,0.03,0.4,0.5,0.2,1000
1000,0.03,0.3,0.6,0.2,1500
1000,0.02,0.3,0.6,0.3,1000
500,0.03,0.2,0.6,0.2,1500
500,0.03,0.4,0.6,0.3,500
1000,0.03,0.2,0.4,0.2,1500
1000,0.02,0.2,0.6,0.3,1500
1000,0.02,0.4,0.5,0.2,1000
500,0.02,0.3,0.6,0.3,1000
500,0.03,0.3,0.4,0.3,1500
1500,0.02,0.3,0.4,0.2,1500
